ASSERTION	AAECAAMEAAAAAAAAAFlA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603404669828	 	3.3.1
USER	RecordedSimulation	1	START	1603404671626	1603404671626
REQUEST	1		open main page	1603404671670	1603404671998	OK	 
USER	RecordedSimulation	2	START	1603404676633	1603404676633
REQUEST	1		get spec_json	1603404676121	1603404676625	OK	 
REQUEST	2		open main page	1603404676635	1603404676931	OK	 
REQUEST	1		delete	1603404677634	1603404677785	OK	 
REQUEST	2		get spec_json	1603404680333	1603404680996	OK	 
USER	RecordedSimulation	3	START	1603404681640	1603404681640
REQUEST	3		open main page	1603404681641	1603404681938	OK	 
REQUEST	2		delete	1603404681999	1603404682135	OK	 
REQUEST	3		get spec_json	1603404686400	1603404686900	OK	 
REQUEST	3		delete	1603404687886	1603404688026	OK	 
REQUEST	1		get	1603404690786	1603404690926	OK	 
REQUEST	2		get	1603404695121	1603404695259	OK	 
REQUEST	3		get	1603404701021	1603404701161	OK	 
REQUEST	1		patch	1603404703921	1603404704060	OK	 
REQUEST	2		patch	1603404708290	1603404708427	OK	 
REQUEST	3		patch	1603404714177	1603404714317	OK	 
REQUEST	1		post	1603404715065	1603404715205	OK	 
REQUEST	2		post	1603404719408	1603404719547	OK	 
REQUEST	3		post	1603404725311	1603404725453	OK	 
REQUEST	1		put	1603404740210	1603404740349	OK	 
USER	RecordedSimulation	1	END	1603404671626	1603404740363
REQUEST	2		put	1603404744550	1603404744688	OK	 
USER	RecordedSimulation	2	END	1603404676633	1603404744692
REQUEST	3		put	1603404750461	1603404750602	OK	 
USER	RecordedSimulation	3	END	1603404681640	1603404750604
