ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603706034121	 	3.3.1
USER	RecordedSimulation	1	START	1603706036138	1603706036138
REQUEST	1		homePage	1603706036189	1603706036544	OK	 
REQUEST	1		iPhonePage	1603706037660	1603706038014	OK	 
USER	RecordedSimulation	2	START	1603706039123	1603706039123
REQUEST	2		homePage	1603706039128	1603706039343	OK	 
USER	RecordedSimulation	3	START	1603706043097	1603706043097
REQUEST	3		homePage	1603706043100	1603706043484	OK	 
REQUEST	2		iPhonePage	1603706043916	1603706044213	OK	 
REQUEST	3		iPhonePage	1603706045172	1603706045594	OK	 
USER	RecordedSimulation	4	START	1603706047099	1603706047099
REQUEST	4		homePage	1603706047108	1603706047403	OK	 
REQUEST	1		selectedIPhonePage	1603706051003	1603706051148	OK	 
REQUEST	4		iPhonePage	1603706051284	1603706051529	OK	 
REQUEST	1		buyAndGoToCart	1603706053525	1603706053643	OK	 
REQUEST	1		homePageAgain	1603706056339	1603706056477	OK	 
REQUEST	2		selectedIPhonePage	1603706057239	1603706057399	OK	 
REQUEST	3		selectedIPhonePage	1603706058587	1603706058719	OK	 
REQUEST	2		buyAndGoToCart	1603706059581	1603706059694	OK	 
REQUEST	1		watchPage	1603706060153	1603706060391	OK	 
REQUEST	3		buyAndGoToCart	1603706061022	1603706061132	OK	 
REQUEST	2		homePageAgain	1603706063158	1603706063288	OK	 
REQUEST	4		selectedIPhonePage	1603706064537	1603706064674	OK	 
REQUEST	3		homePageAgain	1603706065579	1603706065708	OK	 
REQUEST	4		buyAndGoToCart	1603706065859	1603706065966	OK	 
REQUEST	3		watchPage	1603706067702	1603706068361	OK	 
REQUEST	2		watchPage	1603706068271	1603706068539	OK	 
REQUEST	4		homePageAgain	1603706068443	1603706069665	OK	 
REQUEST	4		watchPage	1603706072967	1603706073270	OK	 
REQUEST	1		selectedWatchPage	1603706075408	1603706075557	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603706079879	1603706079985	OK	 
USER	RecordedSimulation	1	END	1603706036138	1603706080006
REQUEST	3		selectedWatchPage	1603706083351	1603706083511	OK	 
REQUEST	2		selectedWatchPage	1603706083553	1603706083716	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603706086374	1603706086484	OK	 
USER	RecordedSimulation	3	END	1603706043097	1603706086487
REQUEST	4		selectedWatchPage	1603706088249	1603706088438	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603706088280	1603706089413	OK	 
USER	RecordedSimulation	2	END	1603706039123	1603706089417
REQUEST	4		buyAndGoToCartFromWatch	1603706089797	1603706089910	OK	 
USER	RecordedSimulation	4	END	1603706047099	1603706089914
